Title,Description
"Tokyo Stocks Higher, Lifted by Survey",Tokyo stocks rose by midday on Monday as a broad range of issues got a lift from a key survey that boosted optimism on Japan #39;s economic outlook and raised expectations that growth figures will be revised up.
Dollar Firm Vs Yen on Jobs News,"The dollar stayed firm against other major currencies on Monday, helped by US jobs data, but traders said it lacked momentum to advance strongly."
Confidence slips in the service sector,"RISING oil prices and interest rates have hit confidence in service firms, but manufacturers have recorded their best spell of orders for nine years, two new surveys show today."
Saudi Arabia to spend US\$10.9b on development: crown prince,"RIYADH : Oil-rich Saudi Arabia has earmarked 41 billion riyals (10.9 billion dollars) of its expected budget surplus for development projects but will spend most of it on repaying part of its public debt, Crown Prince Abdullah bin Abdul Aziz said."
Steel prices likely to raise again in Japan,"Nippon Steel Corp. has told Toyota, Honda and Nissan it wants to raise steel prices for the second time this year, the Asahi Shimbun reports."
Toward an Efficient Saudi Development Financing Industry,"JEDDAH, 6 September 2004 - Development banking is defined as a form of financial intermediary providing financing to high priority investment projects in a developing economy."
"Toyota, Partner to Invest \$461 Mln in China Venture (Update2)","Toyota Motor Corp., the world #39;s biggest carmaker by value, will invest 3.8 billion yuan (\$461 million) with its partner Guangzhou Automobile Group to boost manufacturing capacity in "
Beauty buy a healthly deal for API,"Share in healthcare conglomerate Australian Pharmaceutical Industries surged more than five per cent in early trade today after the company moved to boost its retail pharmacy operations by acquiring health, beauty and lifestyle retailer New Price Retail "
"Brazil Union Backs 10 Pay Raise From Automakers, Estado Says","Brazil #39;s metalworkers union approved a contract with the country #39;s automakers giving workers a 10 percent pay increase and limits on overtime, the O Estado de S. Paulo daily newspaper reported."
UK service executives #39; optimism sours,"Optimism amongst executives in Britain #39;s service sector soured in early August on rising interest rates and soaring oil prices, a Confederation of British Industry report says."
Santander's Abbey bid helps banks,"Santander Central Hispano's 8.6bn (\$15.3bn) bid for UK lender Abbey will help create a single regional financial market, the European Union's Mario Monti says."
"Slight gain seen in jobs, but not health care costs","Labor Day is a time to fire up the barbecue pit and hang out at the beach for the last official rite of summer. It #39;s also the day, every four years, when the presidential candidates ramp up their campaigns for the homestretch to Election Day."
Banks #39; hidden fees fuel ire,"From bank accounts and mortgages to credit cards and car loans, let the buyer beware: Financial fees are on the rise. And many are just waiting to blindside you."
Grizzlies #39; new downtown arena ready to open,"Towering over historic Beale Street, the NBA #39;s newest arena -- and one of its flashiest -- is almost ready for business. The \$250 million FedExForum scheduled a Labor Day party for the "
US recovery  #39;not helping workers #39;,"Many working families still feel no benefit from the US economic recovery, the Economic Policy Institute says. While business is improving, average wages have fallen, job satisfaction has declined and the "
"Toyota, Partner to Invest \$461 Mln in China Venture (Update4)","Toyota Motor Corp., Asia #39;s largest carmaker, will invest 3.8 billion yuan (\$461 million) with its partner Guangzhou Automobile Group to boost capacity in China and catch up with rivals with established car plants in the country."
Embattled Disney head reportedly endorses successor,Michael Eisner reportedly has told Walt Disney Co. directors that company President Robert Iger is his  quot;preferred choice quot; to succeed him as chief executive of the media 
Unichem Labs inks pact with Lannett,Unichem Laboratories has has entered into an agreement with Lannett Company of USA for the exclusive supply of one or more generic drug products.
Emerson may not have pull in bank mergers,"Canada #39;s business community may have found a well-placed advocate at the cabinet table in David Emerson, but that doesn #39;t mean the new federal Industry Minister will necessarily carry the day on bank mergers."
CUTS AT LAZARD PRE-IPO,"As he prepares to take the world #39;s biggest privately held investment bank public, Lazard Chief Executive Bruce Wasserstein is showing bankers the door."
China #39;s Lenovo in talks with  #39;major IT firm #39; for acquisition,"SHANGHAI : China #39;s largest manufacturer of personal computers Lenovo Group said it is in negotiations with a major information technology company, believed to be US-based IBM."
"Asian Stocks Rise, Report Lifts Nikkei"," SINGAPORE (Reuters) - A corporate spending survey that  boosted optimism about Japan's economy drove Tokyo shares  sharply higher on Monday, while other Asian stock markets  traded around multi-month highs."
Dollar Retreats Vs Yen,The dollar pared earlier gains versus the yen on Monday as traders took profits following the US currency #39;s advance last week on positive jobs news that raised prospects for an interest rate rise later this month.
"Under new law, floating checks no longer float","Last week, for example, the Rainier Valley mother mailed her payment check to the bank before Sept. 1, knowing that the Postal Service probably would deliver it in a couple of days."
Aliant workers set to vote on new contract,HALIFAX -- Striking Aliant Inc. workers returned to their picket lines over the weekend with guarded optimism that their four-month-old labour dispute could soon be over.
Japanese firms step up spending,"Japanese firms continue to spend on new equipment and production plants, a survey finds, underlining a continuing recovery in the world's second-largest economy."
Oil price rises hit service firms,"Rising oil prices and interest rates have hit confidence in British service firms but manufacturers have recorded their best spell of orders for nine years, two new surveys showed today."
Building green,"Kristen Galfetti's small glass office at the new Genzyme Corp. headquarters in Cambridge has two doors. One allows access from the hall, and the other opens onto a four-foot-wide walkway on the building's perimeter."
"Roof gardens: looking good, saving money",Once roof gardens were just a matter of aesthetics; now there's something called a  quot;green roof quot; that has environmental benefits.
University wrestles with controversial donation ,"COLUMBIA, Mo. -- When proud alumnus Ken Lay donated \$1.2 million in company stock to the University of Missouri five years ago, campus leaders hailed the donation from the then-chairman of Enron Corp."
